id,name,email,address,amount_spent,city,country,spending_category
886294,Alexis Harris,jonespatricia@hotmail.com,"34242 Charlotte Forge, North Jon, OK 46510",3254.82,Sharonville,Spain,Low
377581,Anthony Walker,catherineryan@hotmail.com,"1185 Lopez Knoll, Shermanview, PA 92744",17909.36,Johnstonburgh,Netherlands Antilles,Very High
365814,Amy Johnson,imarks@galvan-moore.com,"483 Kimberly Mill Suite 414, Owensside, IA 73105",3277.27,Katherineberg,Saint Lucia,Low
169206,Glenda Hopkins,ibarker@norton-hooper.com,"87478 Bryan Mills Suite 776, North Elizabeth, OR 40271",10272.84,West Paulatown,Netherlands,High
590086,Christopher Jones,zclark@yahoo.com,"Unit 2392 Box 0933, DPO AE 47154",13201.19,Morsestad,Pitcairn Islands,Very High
961610,Chad Hodges,gina37@yahoo.com,"50703 Moore Wells, Angelamouth, NE 99910",14266.21,Georgemouth,Norway,Very High
529215,April Rodriguez,joseph03@smith-gibson.com,"5176 Atkins Flat, Robertsonshire, NH 78099",9295.13,Huangstad,Tunisia,High
233111,Edwin Brown,anthonywilson@rodriguez-henderson.com,"97070 Dawson Plaza Suite 676, Timothyton, IA 70566",18406.31,West Tony,Mongolia,Very High
251049,Krystal Kim,jamespollard@manning-hernandez.com,"3504 Elizabeth Lock Apt. 323, Navarroburgh, NV 60474",14604.35,Loveberg,Armenia,Very High
899014,Robert Wiggins,cmartinez@yahoo.com,"4860 Bullock Trace, Justinberg, MD 09817",6295.72,Lake Adam,Colombia,Medium
141141,Christine Greene,chensley@yahoo.com,"9407 Sandy Streets Suite 503, Port Austinland, AL 73210",15931.87,Port Justin,Barbados,Very High
885581,Allison Garcia,melissakaiser@yahoo.com,"3032 Brandon View Suite 046, New Stephanietown, NM 38281",6953.52,Port Danielleville,Haiti,Medium
375723,Jonathan Mason,toddgeorge@buck.com,"004 Porter Prairie, Lake Brad, NV 30074",3707.07,Flemingtown,American Samoa,Low
967478,Tiffany Thompson,matthew36@nelson.com,"6001 Johns Trace Apt. 354, Tylerton, MI 81985",2547.06,Brooksland,Montserrat,Low
416935,Joseph Day,wgrimes@gmail.com,"4328 Murray Village, Lukehaven, DC 49835",17903.02,North Dustinberg,Tanzania,Very High
992294,Christopher Baker,vjohnston@hotmail.com,"PSC 3661, Box 4339, APO AA 04657",4280.82,Lake Natalie,Montserrat,Medium
223058,Christopher Leonard,gsmith@yahoo.com,"94136 Martinez Lodge, Lake Colleen, MT 64043",5938.89,Lewisport,Tajikistan,Medium
887982,Cheryl Foster,ithompson@medina-morse.net,"PSC 2919, Box 6090, APO AE 56032",18975.48,South Blake,Congo,Very High
322239,Elijah Grant,jbond@hotmail.com,"474 Miller Trace Suite 340, Rivasside, ME 16375",11700.43,Christineborough,Nigeria,High
899333,Allen Blair,joshua81@noble.com,"96486 Brittany Run Suite 932, South Denisetown, AZ 31065",2990.16,New Deborah,Mayotte,Low
176283,Laura Schmidt,shannon61@yahoo.com,"5074 Brandon Crest Suite 363, Lake Sierrafort, TN 34185",17116,Lake Aprilberg,Cook Islands,Very High
133085,Paul Smith,connie09@gmail.com,"174 Melinda Via, West Colinchester, DE 37579",14286.92,North Kendrastad,Bermuda,Very High
531337,Nathaniel Barnes,watsonsarah@gmail.com,"1225 Sydney Passage Suite 001, New Kyle, WI 93816",538.9,Benjaminshire,Comoros,Low
256411,Michael Meyer,dfitzgerald@wheeler.net,"4276 Smith Streets, North Jorge, AR 85835",12263.22,Patriciaview,Serbia,Very High
958708,James Golden,russodaniel@davis-hayes.com,"72390 Joseph Isle, West Mathewshire, NM 84241",2560.14,North David,Colombia,Low
150852,Thomas Powell,hurstangela@hotmail.com,"20339 Jeffrey Views, West Judyshire, DC 53209",8547.34,Lake Zacharybury,Cambodia,High
989390,Kathleen Mccarthy,jdavis@yahoo.com,"9855 Jeffrey Motorway Suite 310, New Mark, NM 65872",14050.47,Port Danielberg,Lao People's Democratic Republic,Very High
772474,Crystal Beltran,ithompson@gmail.com,"98516 Chad Inlet Suite 980, Anthonystad, NY 69253",2740.52,New Sierraton,Poland,Low
956935,Maurice Williams,humphreyelizabeth@gray.net,"53300 Amanda View Apt. 155, Rossstad, LA 83106",3421.38,Anthonyburgh,New Zealand,Low
301973,Mary Anderson,sarahclark@gmail.com,"49678 Davidson Viaduct Suite 915, Port Leslie, MI 64463",8857.94,Costashire,Thailand,High
756065,George Leonard,sarah10@yahoo.com,"250 Robinson Turnpike, Cynthiaberg, OK 29644",1619.66,Frankmouth,Swaziland,Low
263519,Teresa Brown,vwilliams@waters-walters.com,"70482 Moore Land Suite 897, Johnstonview, HI 27545",18429.84,East Larry,Pitcairn Islands,Very High
195470,Angela Mitchell,moralesjennifer@gmail.com,"4899 Barber Mount Suite 086, Pamelahaven, HI 26860",9528.01,Wilsonstad,Austria,High
471252,Lonnie Evans,andersonjames@yahoo.com,"7235 Mark Valley, Gilbertborough, IN 55719",15607.93,East Teresa,United Arab Emirates,Very High
396663,Maria Morgan,harmonrobert@yahoo.com,"5693 Daniel Centers, Cooleymouth, IL 08041",17745.77,Lake Keith,Portugal,Very High
763655,Jesus Weeks,sclark@rubio.com,"4826 Oconnell Drive Apt. 873, Michaelland, GA 31866",12151.23,Port Michelleville,Brazil,Very High
644906,Donna Clayton,debra47@gmail.com,"9100 Devon Fields Apt. 786, Brennanton, IL 59059",115.85,North Carol,Guyana,Low
462342,Samuel Turner,robert24@hotmail.com,"484 Nunez Divide Apt. 154, Caitlinport, ND 96898",2738.92,Lake Joyborough,Barbados,Low
660343,Veronica Brock,sherry51@yahoo.com,"9854 Heather Prairie Apt. 185, New Elizabeth, SD 20734",11148.56,Ashleyfurt,South Africa,High
996349,Nicholas Hayes,debra71@gmail.com,"110 Robert Corners Suite 990, Shannonberg, MT 10874",11019.8,West Brettside,San Marino,High
495864,Robert Coleman,christinarush@gmail.com,"16390 Reynolds Drive Apt. 691, South Samuelmouth, NV 63094",8372.29,South Josephport,Nicaragua,High
537443,Amber Navarro,drewhutchinson@wagner.com,"177 Pearson Trafficway, Williamsonton, NH 01830",10198.61,Cartermouth,Korea,High
736875,Barry Wright,emilybrown@armstrong.com,"7593 Murphy Fields Suite 019, New Deborah, AR 37880",8144.58,Mccormickchester,Nigeria,High
559042,Nicole Hughes,bryanscott@gmail.com,"78786 Foster Square Suite 273, Fisherchester, AL 51550",14002.63,East Debra,Malawi,Very High
757825,Justin Lewis,dcollier@lewis.org,"9138 Dominique Stravenue Suite 192, West Meredithborough, WY 51600",18588.36,Reyesmouth,Falkland Islands (Malvinas),Very High
